,mid_x,mid_y,mid_z,DTT_Mass_Recovery,MS_Actual,Al_pct,As_ppm,Au_ppm,Be_ppm,Ca_pct,Cr_ppm,Cu_pct,Fe_pct,K_pct,Mg_pct,Mn_ppm,Na_pct,P_ppm,Pb_ppm,S_pct,Si_pct,Sr_ppm,Ti_pct,V_ppm,W_ppm,Ac,Cb,Ch,Cp,Ep,FeOx_1_pct,He_s,Kspar,Lm,Mt,Py,ANDE_LOWER,ANDE_UPPER,ANLT,BX,Fe1_M1_100,Fe1_M1_200,Fe1_M1_220,Fe1_M1_221,Fe1_M1_222,Fe1_M1_302,Fe1_M1_304,Fe1_M1_306,Fe1_M1_400,Fe1_M1_502,Fe1_M1_504,Fe1_M1_506,Fe1_M1_508,Fe1_M1_602,Fe1_M1_604,Fe1_M1_606,Fe1_M1_802,Fe1_M1_804,Fe1_M1_806,Fe1_M1_808,Fe1_M1_902,Fe1_M1_904,Fe1_M1_906,Fe1_M1_908,in,out
5,0.047354463,-0.256156801,-0.152572934,-0.623115578,-0.530518758,1.779974323,0.021491783,-1.166250924,0.171806167,0.054945055,0.037546934,-0.121898128,-1.665771222,0.556962025,0.235294118,-0.146118721,3.325142857,1.731707317,0.005838198,-0.509528586,0,0.109489051,2.379310345,3.489748369,0.140401146,0,0,1,0.02,0,-0.530909091,-0.1,0.333333333,0,-0.330232558,0.0075,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,0.047354463,-0.256156801,-0.1956091,-0.418090452,-0.360879402,1.484399461,0.011378003,-1.007160015,0.348017621,0.428571429,0.042553191,0.077395637,-1.389609881,1.316455696,0.320261438,0.095890411,1.054857143,1.048780488,0.005838198,-0.569709127,0,0.069343066,2,3.353384733,0.140401146,0,0,1,0.033333333,0,-0.363636364,-0.15,0,0,-0.11627907,0.0075,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,0.168217552,-0.099848518,-0.116637736,-0.454271357,-0.325718396,1.548150902,0.024020228,0.265567258,0.392070485,-0.076923077,0.028785982,0.741063223,-1.359869429,1.215189873,0.954248366,1.735159817,1.121142857,0.195121951,0.005838198,-0.204613842,0,0.332116788,1.620689655,2.398839278,0.140401146,0,0,1,0.033333333,0,-0.530909091,-0.12,0.333333333,0,-0.348837209,0.02,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,0.168217552,-0.099848518,-0.12381043,-0.454271357,-0.325718396,1.548150902,0.024020228,0.265567258,0.392070485,-0.076923077,0.028785982,0.741063223,-1.359869429,1.215189873,0.954248366,1.735159817,1.121142857,0.195121951,0.005838198,-0.204613842,0,0.332116788,1.620689655,2.398839278,0.140401146,0,0,0.666666667,0.266666667,0,0.727272727,-0.15,0,0,1.279069767,0.0375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
24,-0.554023817,-0.155387147,0.090222767,2.218693467,2.354933377,-1.708968173,0.109987358,0.151930894,0.039647577,-0.148351648,0.037546934,0.313452329,2.098520293,-0.898734177,-0.745098039,-0.614611872,-1.364571429,-1.024390244,0.032527106,-0.52557673,0,0,-0.586206897,-1.373887995,0.140401146,0.333333333,0,0.666666667,0.053333333,0.333333333,0.272727273,-0.2,0,0,0.697674419,0.0125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
30,-0.760365279,-0.215922972,-0.11606392,0.00321608,0.086215287,0.771542439,0.034134008,0.720112712,0.083700441,1.862637363,0.078848561,1.217046389,-0.433666776,-0.215189873,0.705882353,-0.205479452,-0.983428571,-0.414634146,0.012510425,1.131394183,0,0.53649635,1,-0.578433449,0.140401146,0,0,0.666666667,0.666666667,1,0.454545455,0.3,0.333333333,0,0.813953488,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
31,-0.760365279,-0.215922972,-0.173445474,2.467537688,2.758201788,-1.84226664,0.021491783,0.470112712,0.083700441,-1.197802198,0.010012516,1.153194989,2.591362071,-0.924050633,-0.85620915,-0.792694064,-1.397714286,-1.170731707,0.029190992,0.834503511,0,0.047445255,-0.689655172,-1.41934254,0.140401146,0,0,1,0.666666667,0,0.8,0.2,0,0,1.279069767,0.35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
46,-0.868462117,-0.08596742,-0.483664501,0.068341709,-0.044055407,0.928023249,0.059418458,0.242839985,0.127753304,0.895604396,0.095118899,0.592076622,-0.697082209,0.936708861,1.581699346,1.488584475,-0.370285714,0.43902439,0.015846539,-0.136409228,0,0.47810219,1.551724138,2.08065746,0.140401146,0.666666667,0.333333333,0.666666667,0.02,0.333333333,-0.518181818,-0.2,0.333333333,0,-0.313953488,0.02,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47,-0.868462117,-0.08596742,-0.49800989,-0.339698492,0.013102057,0.591879287,0.056890013,0.44738544,0.127753304,0.851648352,0.209011264,0.812654187,-0.306207695,0.582278481,1.117647059,0.95890411,-0.652,0.073170732,0.025854879,0.200601805,0,0.503649635,0.310344828,0.148839278,0.140401146,0.666666667,0.333333333,0.666666667,0,0.333333333,-0.518181818,-0.2,0.333333333,0,-0.313953488,0.0125,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
48,-0.868462117,-0.08596742,-0.512355279,0.052261307,0.053512218,0.725177755,0.036662453,-0.825341833,0.083700441,0.263736264,0.090112641,0.005804673,-0.53563404,1.189873418,1.281045752,0.922374429,-0.370285714,-0.146341463,0.005838198,0.529588766,0,0.281021898,1,0.626112005,0.140401146,0.333333333,0.333333333,0.666666667,0,0.333333333,-0.527272727,-0.2,0.333333333,0,-0.325581395,0.005,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
75,-0.965443529,-0.27292232,-0.194423827,-0.615075377,-0.468153798,1.142459914,0.026548673,-1.143523651,0.083700441,0.252747253,0.107634543,-0.287137813,-1.691263038,1.759493671,2.568627451,1.579908676,-1.165714286,0.024390244,0.009174312,-0.802407222,0,0.178832117,1.517241379,1.307930187,0.140401146,0,0,0.666666667,0,0,-0.545454545,-0.2,0,0,-0.348837209,0.0025,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
76,-0.965417627,-0.272929438,-0.197219812,-0.615075377,-0.468153798,1.142459914,0.026548673,-1.143523651,0.083700441,0.252747253,0.107634543,-0.287137813,-1.691263038,1.759493671,2.568627451,1.579908676,-1.165714286,0.024390244,0.009174312,-0.802407222,0,0.178832117,1.517241379,1.307930187,0.140401146,0.333333333,0,0.666666667,0.033333333,0,-0.509090909,-0.1,0.333333333,0,-0.325581395,0.0075,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
77,-0.965384555,-0.272936557,-0.200768556,-0.615075377,-0.468153798,1.142459914,0.026548673,-1.143523651,0.083700441,0.252747253,0.107634543,-0.287137813,-1.691263038,1.759493671,2.568627451,1.579908676,-1.165714286,0.024390244,0.009174312,-0.802407222,0,0.178832117,1.517241379,1.307930187,0.140401146,0,0.333333333,0.666666667,0,0,-0.545454545,-0.2,0,0,-0.348837209,0.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
78,-0.965301297,-0.272957913,-0.20962246,0.420100503,0.296181484,0.023911904,0.034134008,0.44738544,0.171806167,0.093406593,0.038798498,0.804914623,0.135650451,1.367088608,0.091503268,0.511415525,-1.331428571,-0.682926829,0.005838198,-0.112337011,0,0.153284672,0.068965517,-0.555706176,0.140401146,0,0.333333333,0.666666667,0,0,-0.545454545,-0.2,0,0,-0.348837209,0.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
79,-0.965282795,-0.272962184,-0.211593971,0.420100503,0.296181484,0.023911904,0.034134008,0.44738544,0.171806167,0.093406593,0.038798498,0.804914623,0.135650451,1.367088608,0.091503268,0.511415525,-1.331428571,-0.682926829,0.005838198,-0.112337011,0,0.153284672,0.068965517,-0.555706176,0.140401146,0.666666667,0.333333333,0.333333333,0.2,0,0.545454545,-0.2,0,0,1.046511628,0.025,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
80,-0.965262443,-0.272967878,-0.213744708,0.420100503,0.296181484,0.023911904,0.034134008,0.44738544,0.171806167,0.093406593,0.038798498,0.804914623,0.135650451,1.367088608,0.091503268,0.511415525,-1.331428571,-0.682926829,0.005838198,-0.112337011,0,0.153284672,0.068965517,-0.555706176,0.140401146,0.666666667,0,0.333333333,0,0,-0.536363636,-0.15,0.333333333,0,-0.348837209,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
