,DTT_Fe_Conc_Grade
5,48.75
6,39.69
16,62.63
17,62.63
24,68.1
30,67.9
31,69.6
46,69.48
47,66.76
48,68.53
75,60.37
76,60.37
77,60.37
78,65
79,65
80,65
81,65
99,67.92
111,23.54
112,25.2
114,68.69
150,62.77
151,38.33
152,38.33
154,48.6
155,37.3
157,47.08
158,35.49
167,38.5
168,36.8
171,30.5
172,46.8
173,65
180,66.23
181,66.23
182,67.62
183,67.62
197,34.55
217,68.47
218,68.47
230,53.28
272,66.57
273,66.57
274,66.57
401,35.01
402,35.01
403,53.57
404,45.79
405,37.28
406,60.51
410,66
436,63.54
437,37.35
448,48.77
449,45.69
450,66.7
451,66.35
452,56.17
453,60.27
460,70
470,55.97
471,58.72
472,54.01
473,58.25
474,61.72
475,57.08
476,51.13
477,58.55
478,59.3
479,57.64
480,55.07
481,63.08
488,42.77
502,62.86
503,56.99
504,48.68
513,55.14
514,45.63
515,57.75
516,65.98
517,52.73
518,56.53
519,51.04
520,52.41
521,55.66
522,52.87
523,53.57
524,46.09
525,52.34
526,50.38
527,48.86
528,52.04
529,51.13
530,24.51
531,50.71
532,53.29
533,52.62
534,48.82
535,46.14
547,65.9
548,48.21
556,54.54
557,44.91
558,47.29
559,56.29
562,54.74
563,60.93
564,65.29
565,63.77
566,67.3
567,61.25
568,66.9
569,58.43
570,56.79
571,55.38
572,53.8
573,53.93
575,38.82
581,59.6
582,69.56
583,69.74
584,70.94
636,45.38
637,45.38
638,57.28
639,57.28
662,32.07
663,32.07
664,29.29
665,29.29
668,54.16
669,54.16
670,53.77
671,53.77
672,50.42
673,50.42
674,50.42
675,53.62
676,51.64
677,53.01
678,52.48
679,52.48
680,42.71
681,42.71
682,55.07
683,55.07
684,62.62
685,39.82
726,67.66
727,67.66
728,67.66
729,47.14
730,47.14
731,47.14
732,50.27
733,50.27
734,56.6
735,56.6
736,65.97
737,65.97
738,65.97
739,68.04
740,68.04
741,68.04
742,68.04
743,63.69
744,63.69
745,63.69
766,37.57
805,70.82
806,69.58
807,69.58
808,70.36
809,70.36
810,70.36
829,24.87
830,24.87
831,24.87
832,67.48
833,67.48
834,67.48
835,68.24
836,68.24
876,68.97
877,68.97
878,54.55
879,54.55
880,54.55
905,34.1
968,51.02
969,48.16
972,41.28
973,52.93
974,55.29
975,52.08
983,46.67
984,30.34
985,19.81
1043,64.38
1044,64.02
1045,63.21
1046,63.61
1081,21.54
1082,32.15
1083,45.69
1084,47.79
1085,63.84
1086,63.84
1087,50.5
1088,60.61
1089,60.61
1090,43.54
1091,61.38
1092,61.38
1093,61.38
1094,59.84
1110,69
1132,27.77
1133,23.89
1157,62.02
1158,62.02
1174,63.31
1175,63.31
1211,37.93
1236,51.81
1243,64.53
1244,64.53
1245,64.53
1246,64.53
1272,35.53
1273,35.53
1278,64.9
1279,64.9
1305,57.99
1306,66.35
1307,66.35
1355,35.64
1422,51.99
1423,51.99
1458,28.56
1459,28.56
1460,61.4
1461,61.4
1462,59.88
1463,59.88
1464,59.88
1465,63.69
1466,63.69
1467,63.69
1468,63.69
1469,62.24
1470,62.24
1471,62.24
1472,62.24
1473,58.81
1474,58.81
1475,58.81
1481,44.84
1482,44.84
1483,41.95
1484,41.95
1508,62.33
1509,62.33
1522,30.55
1523,30.55
1524,30.55
1527,52.29
1528,52.29
1529,46.37
1530,46.37
1531,46.37
1532,46.37
1537,63.46
1538,63.46
1539,22.8
1540,22.8
1541,22.88
1542,22.88
1543,22.88
1544,18.31
1545,58.67
1546,58.67
1567,32.3
1587,59.6
1588,59.6
1589,59.6
1590,59.6
1604,63.39
1605,63.39
1624,15.96
1625,15.96
1646,59.38246377
1657,23.63436145
1662,68.06389157
1663,68.06389157
1664,64.91775904
1665,68.21736145
1666,53.94466265
1667,60.08345783
1679,65.91531325
1700,30.23356627
1701,34.37725301
1702,30.23356627
1703,39.28828916
