,mid_x,mid_y,mid_z,DTT_Fe_Conc_Grade,MAGSUS_MOD,UG_MOD,DTT_Mass_Recovery,Fe_pct_DTT,MS_Actual,Al_pct,Ca_pct,Fe_pct,K_pct,Mg_pct,Na_pct,P_ppm,S_pct,Si_pct,Ti_pct,Py
0,399995.43,7072702.96,1023.55,54.3,out,VLCL_BOTTOM,13.99,28.96681689,10234,5.54,2.68,23,1.16,1.88,1.92,1040,2.55,13.86349522,0.66,1
1,399995.43,7072702.96,1022.55,54.3,out,VLCL_BOTTOM,13.99,28.96681689,10234,5.54,2.68,23,1.16,1.88,1.92,1040,2.55,13.86349522,0.66,1
2,399995.43,7072702.96,988.65,51.9,out,VLCL_BOTTOM,17.64,28.96681689,10225,5.69,3.28,18.8,1.14,1.13,2.15,1690,1.11,13.86349522,0.92,1.5
3,399995.43,7072702.96,936.65,48.6,out,VLCL_BOTTOM,8.5,14.34,5830,7.65,2.76,14.55,2.69,4.55,0.95,840,0.89,13.86349522,0.88,0.5
4,399995.43,7072702.96,910.65,55.54,out,VLCL_BOTTOM,9.4,17.4,6636,4.07,7.59,14.75,2.15,2.73,0.32,520,2.3,13.86349522,0.51,0.6
5,399860.05,7072764.8,901.67,48.75,out,ANLT,3.5,13.05,781,6.99,3,11.1,1.32,2.09,2.89,1400,0.75,13.86349522,0.94,0.3
6,399860.05,7072764.8,895.67,39.69,out,ANLT,8.6,15.62,4853,6.48,3.68,14.35,1.92,2.22,1.52,1120,0.6,13.86349522,0.83,0.3
7,399860.05,7072764.8,884.17,50.27,out,VLCL_BOTTOM,5.13,12.35,4648,6.12,4.62,12.1,0.59,2.16,2.53,1360,0.71,13.86349522,0.91,0.1
8,399860.05,7072764.8,883.17,50.27,out,VLCL_BOTTOM,5.13,12.35,4648,6.12,4.62,12.1,0.59,2.16,2.53,1360,0.71,13.86349522,0.91,0.1
9,399860.05,7072764.8,879.67,57.5,out,VLCL_BOTTOM,6.2,13.13,3601,4.94,10.25,13.05,0.91,2.44,0.5,670,0.75,13.86349522,0.52,0.2
10,399860.05,7072764.8,861.67,26.56,out,VLCL_BOTTOM,16,10.64,5690,7.85,2.81,10.5,2.73,2.38,2.18,640,0.31,13.86349522,0.71,0.1
11,399860.05,7072764.8,829.67,61.78,out,VLCL_BOTTOM,14.92,18.8,11153,7.34,2.44,18.95,2.62,3.73,1.5,810,1.39,13.86349522,0.58,0.5
12,399860.05,7072764.8,819.67,66.41,in,VLCL_BOTTOM,9.3,15.17,8347,6.48,3.41,14.1,1.16,4.39,1.24,800,1.74,13.86349522,0.66,0.3
13,399860.05,7072764.8,817.67,68.3,in,VLCL_BOTTOM,45.58,28.96681689,44253,2.99,1.83,41.9,1.27,1.62,0.16,300,2.44,13.86349522,0.15,0.8
16,399957.49,7072781.83,1007.61,62.1,out,VLCL_TOP,11.51,28.96681689,5362,1.88,0.69,45.4,0.94,0.84,0.03,320,2.61,13.86349522,0.11,1
17,399957.49,7072781.83,823.61,64.23,out,VLCL_BOTTOM,11.63,28.32,8074,3.02,2.91,28.3,0.95,1.44,0.63,790,2.68,13.86349522,0.38,0.8
18,399912.31,7072874.59,906.68,62.63,out,ANLT,7.7,15.73,5697,6.59,2.76,14.7,1.84,3.19,1.56,770,1.51,13.86349522,0.72,0.8
