,mid_x,mid_y,mid_z,DTT_Fe_Conc_Grade,MAGSUS_MOD,DTT_Mass_Recovery,MS_Actual,Al_pct,Ca_pct,Fe_pct,K_pct,Mg_pct,Na_pct,P_ppm,S_pct,Si_pct,Ti_pct,Py
155,400202.89,7073020.81,976.08,38.33,out,16.4,11008,7.07,4.63,14.95,1.56,3.6,2.12,1560,0.71,13.86349522,1.31,1
156,400202.89,7073020.81,975.08,38.33,out,16.4,11008,7.07,4.63,14.95,1.56,3.6,2.12,1560,0.71,13.86349522,1.31,1.5
163,400235.76,7073131.89,1016.41,48.6,in,34.12,24973,5.38,3.16,22,0.3,1.36,3.51,1760,1.65,13.86349522,1.37,0.5
164,400235.76,7073131.89,928.41,37.3,out,23.17,11860,6.53,4.54,12.85,0.43,2.63,3.39,1440,0.51,13.86349522,1.08,0.1
167,400203.09,7073668.36,914.58,35.49,in,23.59,14295,7.22,2.7,14.7,1.23,2.87,3.56,1360,0.58,13.86349522,1.22,0.4
181,399539.17,7072257.02,776.05,30.5,in,27.2,10485,6.17,2.68,12.6,0.68,1.88,2.93,1860,0.56,13.86349522,1.62,0.3
182,399539.17,7072257.02,774.05,46.8,in,33.19,18575,4.88,4.1,21.2,0.51,1.58,2.28,1450,1.38,13.86349522,1.12,0.3
183,399539.17,7072257.02,768.05,65,in,37.9,31595,3.85,4.45,29.2,0.88,1.22,1.56,1200,2.27,13.86349522,0.84,0.5
208,400293.49,7073710.45,980.71,34.55,out,26.7,16903,5.78,3.65,16.8,0.98,2.42,2.92,1690,0.53,13.86349522,1.38,1
447,400279.98,7073266.16,1040.16,35.01,out,7.4,2815,4.56,7.63,14.15,1.36,2.36,0.95,550,0.43,13.86349522,0.48,0
448,400279.98,7073266.16,1039.16,35.01,out,7.4,2815,4.56,7.63,14.15,1.36,2.36,0.95,550,0.43,13.86349522,0.48,0
449,400279.98,7073266.16,1027.96,53.57,out,15.83,10328,6.09,4.21,12.75,1.24,1.51,3.31,1680,0.3,13.86349522,1.5,1
450,400279.98,7073266.16,957.96,45.79,in,37.4,21898,5.09,3.15,22.4,0.64,1.92,2.67,1430,1.26,13.86349522,1.13,0.8
518,400059.474,7073267.675,847.6563898,55.97,in,29.7,25013,6.07,3.49,23.4,1.28,3.77,1.98,1010,0.28,13.86349522,0.67,0
519,400059.3858,7073267.652,845.6584737,58.72,in,25.31,22628,6.5,2.92,22,1.3,3.45,2.19,850,0.34,13.86349522,0.74,1
520,400059.105,7073267.577,839.6655163,54.01,in,27,20100,6.4,3.02,21.3,1.45,3.33,2.23,1040,0.25,13.86349522,0.69,0
521,400058.6812,7073267.471,831.6774796,58.25,in,47.2,43208,4.58,2.74,31.4,0.56,2.62,2.11,1230,0.27,13.86349522,0.83,2
522,400058.5653,7073267.444,829.6810237,61.72,in,32.9,28680,5.56,2.43,25.6,0.36,2.12,3.02,1470,0.85,13.86349522,0.72,1
523,400058.3195,7073267.392,825.6889173,57.08,in,33.08,30100,5.09,3.24,25.6,0.9,3.01,2.14,1250,0.36,13.86349522,0.72,1
524,400057.9151,7073267.325,819.7029539,51.13,in,19.6,14790,6.13,2.09,17.5,0.8,3.13,2.56,780,0.18,13.86349522,0.63,1
525,400057.3345,7073267.236,811.7245526,58.55,in,28.8,25125,5.47,3.1,23.6,1.03,3.39,1.86,1120,0.33,13.86349522,0.75,0.5
526,400056.572,7073267.171,801.7539408,59.3,in,28.6,24903,5.5,2.47,21.9,1.81,2.53,1.99,900,0.35,13.86349522,0.52,1
527,400055.9475,7073267.187,793.7783794,57.64,in,36.4,31245,4.19,1.45,25.9,0.3,2.14,1.7,1160,0.24,13.86349522,0.85,1
528,400055.1481,7073267.229,783.8104746,55.07,in,22.4,17228,6.01,2.75,18.8,0.61,2.99,2.08,910,0.24,13.86349522,0.74,0
