,mid_x,mid_y,mid_z,DTT_Fe_Conc_Grade,MAGSUS_MOD,DTT_Mass_Recovery,MS_Actual,Al_pct,Ca_pct,Fe_pct,K_pct,Mg_pct,Na_pct,P_ppm,S_pct,Si_pct,Ti_pct,Py
115,399960.67,7073004.62,971.81,23.54,out,13.9,6436,7.05,3.14,10.3,1,2.91,2.96,1760,0.8,13.86349522,1.24,0.1
116,399960.67,7073004.62,969.81,25.2,out,14.7,7135,7.06,2.56,10.4,0.79,2.73,3.18,1760,0.69,13.86349522,1.22,0.5
166,399834.56,7073284.01,794.52,47.08,out,15.92,10528,7.2,4.39,12.15,0.42,1.7,4.24,2700,0.05,13.86349522,1.54,0.1
176,400077.2756,7072628.65,1084.441055,38.5,out,11,4963,7.01,2.58,11.4,0.73,1.87,2.97,1980,0.43,13.86349522,1.34,0.1
177,400074.7499,7072627.761,1079.07173,36.8,out,10.75,5038,7.2,2.27,12.55,1.17,2.45,2.39,2100,0.83,13.86349522,1.42,0.1
244,399991.42,7074118.15,958.42,53.28,out,15.62,12195,6.54,2.09,13.2,0.65,2.74,3.3,2220,0.08,13.86349522,1.45,0
451,399920.89,7073095.82,916.43,37.28,out,14.7,6341,6.56,3.46,10.25,0.88,2.25,3.36,1960,0.96,13.86349522,1.31,0.8
483,399439.11,7073185.22,836.09,37.35,out,12.17,9497,6.94,3.29,11.6,0.46,2.49,3.52,1520,1.08,13.86349522,1.1,0.1
494,399890.4954,7073411.985,909.047445,48.77,out,18.04,11472,6.14,9.02,14.2,1.95,2.22,1.82,1620,1.42,13.86349522,0.92,0.5
495,399892.0569,7073412.004,827.0626956,45.69,in,16.6,9737,7.91,2.63,12.4,0.95,2.87,3.66,1840,0.02,13.86349522,1.31,0.3
496,399892.832,7073411.246,765.0727776,66.7,in,44.78,40493,3.55,4.1,33.1,0.73,1.22,1.31,770,0.31,13.86349522,0.47,1
497,399892.8594,7073411.211,763.0732802,66.35,in,42.3,35573,3.67,2.79,33.4,0.27,1.76,1.4,760,0.22,13.86349522,0.49,1
498,399892.9443,7073411.104,757.0748273,56.17,in,34.5,30770,5.74,3.55,24.2,0.49,1.61,2.98,1360,0.26,13.86349522,0.86,0.5
501,400061.3046,7073269.61,975.6188822,60.27,in,8.9,3474,5.67,3.08,19.85,0.34,2.9,1.28,1360,0.02,13.86349522,0.86,0
552,400016.5594,7073365.984,948.6738742,48.68,out,12.7,6676,6.08,4.07,22.8,1,1.39,2.53,1810,0.04,13.86349522,1.09,0.1
579,399939.7869,7073536.815,930.6051673,50.71,in,26.51,18168,5.77,5.23,19.85,0.43,3.48,2.55,1560,0.24,13.86349522,0.86,0.2
580,399954.1747,7073522.065,782.0391285,53.29,in,28.23,23348,5.87,7.56,20.5,0.24,1.67,3.08,1410,0.1,13.86349522,0.79,0.2
581,399954.9497,7073521.175,774.1266552,52.62,in,37.35,32585,5.13,7.34,24.2,0.38,1.73,2.27,1570,0.6,13.86349522,0.72,0.2
712,399993.446,7073391.985,913.7105071,57.28,in,28,17418,5.56,4.2,23.1,0.9,2.11,0.873316413,2100,0.04,16.3,1.38,0.2
713,399993.8247,7073392.059,912.7880196,57.28,in,28,17418,5.56,4.2,23.1,0.9,2.11,0.873316413,2100,0.04,16.3,1.38,0.5
761,400037.6014,7073257.081,966.6101093,62.62,out,3.3,853,6.57,3.47,11,0.9,1.08,0.873316413,2000,0.45,21.9,1.5,1
762,400041.7678,7073258.7,957.6646865,39.82,out,7.8,3890,5.04,2,15.75,0.3,0.84,0.873316413,1800,0.51,22.2,1.19,2
844,399679.5849,7073045.675,906.9897008,37.57,out,13.8,6466,6.79,3.72,9.31,1.2,2.46,0.873316413,2100,0.09,24.4,1.49,0.4
1055,400102.3926,7073405.431,991.2613724,41.28,in,31.8,17688,5.51,3.18,18.9,0.4,2.29,0.873316413,1600,0.1,20.1,1.15,0.2
1056,400102.2536,7073405.459,987.263885,52.93,in,32.17,24460,5.2,3.4,22.5,0.5,2.11,0.873316413,1500,0.11,19.15,1.07,0.1
1057,400102.1878,7073405.471,985.2650051,55.29,in,40.6,33358,4.6,3.88,26.9,0.3,2.11,0.873316413,1400,0.11,17.1,0.99,0.1
1058,400101.8714,7073405.512,975.270108,52.08,in,38.9,30948,5.15,3.19,23.6,0.2,1.84,0.873316413,1500,0.06,17.75,1.14,0.3
1068,400027.6,7073810.25,915.76,19.81,out,14.7,5882,6.93,3.58,8.55,1,2.11,0.873316413,2400,0.06,23.2,1.24,0
1243,400088.0771,7072669.456,1090.064297,27.77,out,8.7,3532,5.85,5.19,11.35,0.8,0.81,0.873316413,1800,0.71,20.8,1.26,0.5
1244,400082.7407,7072666.376,1068.94489,23.89,out,7.5,1784,6.48,2.29,11.75,1,1.67,0.873316413,1900,1.68,22.7,1.35,0.3
1401,399681.373,7072545.067,1120.17876,35.53,out,21.5,9395.631268,6.58,2.44,17.9,1.08,2.95,2.5,2050,0.32,21.8,1.27,0.2
1402,399681.3585,7072545.08,1119.178946,35.53,out,21.5,9395.631268,6.58,2.44,17.9,1.08,2.95,2.5,2050,0.32,21.8,1.27,2
1491,400068.5093,7072669.211,1077.214363,35.64,out,14.6,4017.997667,6.51,1.86,10.35,1.26,2.22,2.74,2040,0.59,24.6,1.2,0.1
