MAGSUS,UG,Free,Lib>80%,Mid>50%,Sub-Mid>20%,Locked
out,ANDE_UPPER,3.96,0.93,1.14,1.57,4.61
out,ANLT,0.33,0.52,0.96,0.89,1.19
out,VLCL_BOTOM,33.62,11.14,6.94,4.19,2.12
out,VLCL_BOTOM,17.44,8.47,4.9,2.93,2.92
in,BX,43.54,6.59,5.11,2.64,2.08
in,BX,29.43,3.73,3.29,2.32,2.13
in,BX,46.27,5.27,3.33,2.2,1.82
out,VLCL_TOP,28.5,5.11,2.71,2.26,2.1
in,VLCL_TOP,30.07,5.89,3.57,2.33,2.12
in,VLCL_TOP,49.19,6.36,3.46,2.28,1.44
out,BX,15.71,3.56,3.68,3.9,2.53
in,VLCL_TOP,38.08,10.52,3.7,2.28,1.03
in,VLCL_BOTOM,23.58,8.56,2.62,1.57,1.24
in,VLCL_BOTOM,23.87,6.22,2.95,1.95,1.83
in,VLCL_BOTOM,24.94,6.97,4.66,3.75,2.83
out,VLCL_TOP,28.45,9.43,9.17,5.44,1.86
in,VLCL_TOP,32.18,9.55,4.33,2.22,1.53
out,VLCL_TOP,19.21,7.81,5.69,3.63,2.38
in,VLCL_TOP,71.25,3.61,1.77,1.08,0.68
in,VLCL_TOP,34.18,10.9,5.04,3.31,1.98
in,ANLT,44.24,5.99,3.27,2.62,1.74
out,VLCL_BOTOM,43.04,5.07,3.81,2.49,1.52
out,VLCL_BOTOM,14.49,5.11,3.16,3.4,2.73
in,ANLT,31.07,3.24,1.96,1.34,1.15
out,VLCL_TOP,23.47,10.28,6.23,3.77,2.16
in,VLCL_TOP,29.37,7.54,4.72,3.74,2.43
out,VLCL_TOP,17.9,11.49,8.05,4.59,2.29
out,VLCL_TOP,41.69,7.56,4.41,3.75,1.96
in,VLCL_TOP,63.41,6.01,2.98,2.02,1.14
in,ANLT,28.9,3.62,2.27,1.08,1.53
out,ANLT,29.25,5.9,5.33,2.46,2.27
out,BX,21.94,3.55,2.9,2.61,2.94
out,VLCL_BOTOM,43.5,8.36,5.07,3.36,2.24
out,VLCL_BOTOM,26.94,4.95,4.67,4.77,2.97
out,VLCL_BOTOM,10.75,4.91,3.54,2.23,2.11
out,VLCL_BOTOM,9.45,1.42,2.21,1.06,1.21
in,VLCL_TOP,40.04,8.62,4.57,2.54,1.66
in,VLCL_TOP,34.45,3.66,2.54,1.97,1.74
out,VLCL_BOTOM,10.38,3.5,2.56,1.79,1.43
out,VLCL_BOTOM,30.68,5.61,4.21,3.07,2.35
out,ANDE_UPPER,3.65,0.92,1.81,3.1,4.57
out,VLCL_TOP,27.32,7.23,6.09,3.49,2.46
out,VLCL_TOP,22.11,5.58,5.17,4.2,3.65
in,VLCL_TOP,38.02,6.54,5.14,4.01,2.06
in,ANDE_LOWER,11.72,3,4.48,3.88,4
