iter	RMSE
0	8.389844793
1	8.246172312
2	8.104693867
3	7.985307737
4	7.870963614
5	7.734136669
6	7.619144129
7	7.526095033
8	7.397592618
9	7.295111373
10	7.186788861
11	7.076402102
12	6.974123881
13	6.890440819
14	6.798680272
15	6.712362963
16	6.62053224
17	6.548668283
18	6.479473643
19	6.397335427
20	6.326489003
21	6.258189483
22	6.191579225
23	6.112352039
24	6.041018781
25	5.993953008
26	5.937289135
27	5.88867023
28	5.830194569
29	5.776115197
30	5.738287638
31	5.691527681
32	5.64352013
33	5.585202189
34	5.530651819
35	5.480423487
36	5.427399879
37	5.391531367
38	5.352595339
39	5.315118561
40	5.261576866
41	5.216759599
42	5.181114149
43	5.145449146
44	5.104734575
45	5.074545785
46	5.038002584
47	5.005331698
48	4.976466817
49	4.949882831
50	4.926425069
51	4.906366125
52	4.882802386
53	4.859163147
54	4.83323499
55	4.799875688
56	4.770954487
57	4.745554875
58	4.722816713
59	4.700625941
60	4.669269895
61	4.65298662
62	4.621803915
63	4.597074563
64	4.568165396
65	4.552296836
66	4.527184417
67	4.502124474
68	4.481456068
69	4.465467192
70	4.447286972
71	4.424840603
72	4.410929188
73	4.393153914
74	4.366849297
75	4.343591294
76	4.323689193
77	4.305370311
78	4.291030565
79	4.270786662
80	4.251822716
81	4.235705906
82	4.218752593
83	4.210244458
84	4.202179327
85	4.190458766
86	4.176346605
87	4.163334402
88	4.153130945
89	4.14166769
90	4.128271867
91	4.115845167
92	4.098362391
93	4.087941795
94	4.074533287
95	4.060745746
96	4.05223907
97	4.031564612
98	4.021571878
99	4.010113597
100	3.991950751
101	3.983717411
102	3.976274553
103	3.969476708
104	3.956098043
105	3.938285212
106	3.920244559
107	3.906896624
108	3.898433006
109	3.884475316
110	3.878327846
111	3.862271707
112	3.850886112
113	3.837324769
114	3.829451356
115	3.816563014
116	3.80569553
117	3.797448059
118	3.786777359
119	3.777138087
120	3.75809604
121	3.743555494
122	3.732974554
123	3.722910867
124	3.705573906
125	3.693820128
126	3.686248959
127	3.672565131
128	3.652925674
129	3.643366928
130	3.632133559
131	3.614827701
132	3.605215203
133	3.592612757
134	3.58642421
135	3.572935079
136	3.564652038
137	3.557164732
138	3.545109445
139	3.536539439
140	3.52734673
141	3.517291413
142	3.504920191
143	3.499982486
144	3.492400697
145	3.486257786
146	3.477509108
147	3.466585376
148	3.453159288
149	3.446772643
150	3.438468049
151	3.429566462
152	3.417692099
153	3.406919412
154	3.399227602
155	3.392991976
156	3.387660713
157	3.378000977
158	3.372162933
159	3.366085997
160	3.356417855
161	3.348108498
162	3.341279088
163	3.327077188
164	3.322607213
165	3.31512424
166	3.305869241
167	3.298101382
168	3.290996058
169	3.28295949
170	3.26914878
171	3.26264245
172	3.24998784
173	3.244824666
174	3.232313946
175	3.226731058
176	3.219328
177	3.210423326
178	3.203453566
179	3.199029552
180	3.194404776
181	3.188612196
182	3.18187887
183	3.174360022
184	3.167189363
185	3.155825077
186	3.144686123
187	3.133258955
188	3.125471049
189	3.11539468
190	3.109671687
191	3.10263659
192	3.099130826
193	3.08832786
194	3.08322314
195	3.075893949
196	3.064524284
197	3.056965719
198	3.050049293
199	3.043647589
200	3.033475431
201	3.022714311
202	3.012359597
203	3.006001796
204	2.994975003
205	2.987051508
206	2.980126345
207	2.970499017
208	2.957382685
209	2.949630322
210	2.936915548
211	2.927797878
212	2.920331588
213	2.912450828
214	2.90943348
215	2.900639428
216	2.89264266
217	2.889025513
218	2.879762885
219	2.870568997
220	2.864154463
221	2.848760751
222	2.840403621
223	2.829472655
224	2.82170715
225	2.814016691
226	2.809618078
227	2.80085923
228	2.791717011
229	2.78239715
230	2.774930981
231	2.768074151
232	2.759741541
233	2.749948584
234	2.747298558
235	2.741270619
236	2.733723858
237	2.725442776
238	2.718402379
239	2.709168827
240	2.70177929
241	2.699680486
242	2.690166853
243	2.681869838
244	2.675024571
245	2.669502761
246	2.660418571
247	2.654479352
248	2.644105432
249	2.638192207
250	2.630909875
251	2.618229597
252	2.611713115
253	2.606565262
254	2.596538962
255	2.589423118
256	2.583680259
257	2.576628976
258	2.570148034
259	2.566754916
260	2.559159777
261	2.55546054
262	2.55213991
263	2.545441099
264	2.537682397
265	2.529908274
266	2.523634833
267	2.521121584
268	2.514904458
269	2.509213678
270	2.506908972
271	2.502728127
272	2.49705136
273	2.491465435
274	2.485998316
275	2.478281311
276	2.471108581
277	2.463061788
278	2.453297864
279	2.44799459
280	2.441165829
281	2.436314047
282	2.431092174
283	2.423410854
284	2.417948652
285	2.410212021
286	2.403102819
287	2.397274463
288	2.390417242
289	2.386597056
290	2.379124309
291	2.374950876
292	2.370214167
293	2.364653036
294	2.360155466
295	2.355600392
296	2.349884725
297	2.345707854
298	2.340106794
299	2.33715304
300	2.332074727
301	2.326151673
302	2.319210262
303	2.314325121
304	2.309885521
305	2.30751709
306	2.304341182
307	2.297973382
308	2.295130557
309	2.2893572
310	2.283124298
311	2.279055172
312	2.274735995
313	2.269612849
314	2.263869831
315	2.258662914
316	2.25530526
317	2.249253315
318	2.247477268
319	2.246906762
320	2.240881694
321	2.237902861
322	2.235198395
323	2.231244648
324	2.226961699
325	2.220575998
326	2.216457693
327	2.211189917
328	2.208186597
329	2.207234259
330	2.206763721
331	2.202957254
332	2.201081789
333	2.198123701
334	2.197430525
335	2.193593896
336	2.190180846
337	2.185683327
338	2.184269508
339	2.183839919
340	2.182595652
341	2.179676808
342	2.176424871
343	2.169538104
344	2.167897129
345	2.164656826
346	2.163021421
347	2.157145249
348	2.152044738
349	2.146421791
350	2.145637371
351	2.142434445
352	2.138402734
353	2.133186779
354	2.12580905
355	2.123463042
356	2.122729132
357	2.122148635
358	2.118182149
359	2.117204834
360	2.116494166
361	2.112446436
362	2.10793486
363	2.103917049
364	2.098579936
365	2.09518484
366	2.094637679
367	2.090015966
368	2.089642754
369	2.085016519
370	2.079247985
371	2.074846943
372	2.070425161
373	2.066162533
374	2.062352947
375	2.061716791
376	2.058790921
377	2.054414006
378	2.048571925
379	2.046313159
380	2.043185697
381	2.039390089
382	2.032999091
383	2.027906232
384	2.021432501
385	2.018934471
386	2.014454946
387	2.009987014
388	2.005988967
389	2.002364456
390	1.999713026
391	1.994465077
392	1.988672803
393	1.983501185
394	1.98140766
395	1.978439259
396	1.973121841
397	1.967759059
398	1.962676373
399	1.958399598
400	1.955841809
401	1.952081359
402	1.946313958
403	1.944396511
404	1.939601976
405	1.935359307
406	1.931132687
407	1.928671052
408	1.92128945
409	1.918407204
410	1.914091974
411	1.909403797
412	1.904864478
413	1.902588208
414	1.899386072
415	1.89650394
416	1.893244304
417	1.888817884
418	1.885617142
419	1.881975701
420	1.877881622
421	1.875277979
422	1.872125437
423	1.866642519
424	1.86351766
425	1.859900717
426	1.856637354
427	1.856086675
428	1.853932146
429	1.850277902
430	1.845777827
431	1.841366654
432	1.837518825
433	1.831074401
434	1.827832719
435	1.825159407
436	1.821827826
437	1.820054982
438	1.815864979
439	1.814827513
440	1.811061278
441	1.80764161
442	1.804839928
443	1.801943218
444	1.798376231
445	1.795044214
446	1.791943957
447	1.790774769
448	1.788969107
449	1.788121131
450	1.784022047
451	1.780080481
452	1.777951293
453	1.773980329
454	1.771457015
455	1.766691686
456	1.765989139
457	1.761020757
458	1.758197107
459	1.754350543
460	1.751342304
461	1.748605422
462	1.748054207
463	1.74448736
464	1.739580582
465	1.737111746
466	1.733682001
467	1.731185726
468	1.726211953
469	1.723371621
470	1.72060466
471	1.717413555
472	1.715856953
473	1.714835727
474	1.712504152
475	1.709237017
476	1.70366488
477	1.703029154
478	1.69707065
479	1.69294262
480	1.690814639
481	1.688470051
482	1.685774956
483	1.682938685
484	1.678132972
485	1.675425169
486	1.671690434
487	1.668252618
488	1.666440966
489	1.662677069
490	1.661018242
491	1.658633097
492	1.658191725
493	1.654449097
494	1.652066625
495	1.649848181
496	1.645790179
497	1.642851043
498	1.639293691
499	1.637794086
500	1.634585438
501	1.632393112
502	1.625903099
503	1.624667568
504	1.620634733
505	1.618947948
506	1.618452275
507	1.614574127
508	1.612214038
509	1.609526182
510	1.6074125
511	1.605610254
512	1.605283332
513	1.599994889
514	1.598309723
515	1.59398012
516	1.591670841
517	1.58828254
518	1.587880061
519	1.587589944
520	1.586869533
521	1.583212454
522	1.579351639
523	1.57719076
524	1.576871838
525	1.57234311
526	1.569141014
527	1.564605907
528	1.561927705
529	1.559963569
530	1.556786221
531	1.554600751
532	1.552082728
533	1.551017928
534	1.548283997
535	1.545201378
536	1.543555439
537	1.54304525
538	1.539738294
539	1.53771384
540	1.537130273
541	1.535704264
542	1.532953212
543	1.530275682
544	1.530016742
545	1.527890412
546	1.524671753
547	1.520357727
548	1.516466341
549	1.514233412
550	1.51259124
551	1.51101801
552	1.510474903
553	1.508241626
554	1.507491496
555	1.506277861
556	1.501381439
557	1.496958691
558	1.49353387
559	1.491154396
560	1.488980874
561	1.487040417
562	1.482472138
563	1.480493004
564	1.480263056
565	1.47647474
566	1.473265044
567	1.470031191
568	1.467949745
569	1.466074853
570	1.463894685
571	1.461842418
572	1.459894489
573	1.458127125
574	1.456794602
575	1.452710514
576	1.452325774
577	1.449605493
578	1.449343362
579	1.444955792
580	1.443373747
581	1.443139379
582	1.441280487
583	1.440222972
584	1.436015806
585	1.43228969
586	1.429669134
587	1.42780569
588	1.427298067
589	1.425272656
590	1.422850305
591	1.419643649
592	1.417131743
593	1.412869021
594	1.410991379
595	1.409395563
596	1.407101314
597	1.406874519
598	1.403136041
599	1.400564746
600	1.396428144
601	1.392651989
602	1.390273234
603	1.386942621
604	1.383152924
605	1.381167133
606	1.379501653
607	1.376042094
608	1.375745631
