iter	Passed	Remaining
0	9	9302
1	15	7874
2	21	7119
3	25	6416
4	30	6140
5	35	5963
6	39	5669
7	44	5511
8	48	5355
9	53	5266
10	57	5136
11	61	5091
12	65	4996
13	70	4960
14	75	4972
15	79	4904
16	84	4865
17	87	4794
18	91	4735
19	95	4688
20	101	4712
21	104	4665
22	108	4619
23	112	4579
24	117	4567
25	120	4521
26	124	4486
27	128	4453
28	132	4431
29	136	4406
30	140	4377
31	144	4381
32	148	4364
33	152	4340
34	156	4319
35	160	4300
36	164	4291
37	168	4264
38	172	4239
39	175	4222
40	179	4210
41	184	4198
42	187	4177
43	191	4167
44	198	4213
45	202	4200
46	206	4185
47	210	4177
48	214	4156
49	217	4141
50	223	4150
51	228	4164
52	232	4146
53	235	4131
54	239	4120
55	244	4126
56	248	4110
57	252	4095
58	255	4081
59	259	4071
60	263	4058
61	267	4047
62	271	4037
63	275	4026
64	280	4032
65	284	4023
66	289	4025
67	293	4016
68	296	4005
69	300	3995
70	305	3991
71	310	3995
72	313	3984
73	317	3973
74	321	3969
75	326	3963
76	330	3955
77	334	3948
78	338	3948
79	342	3939
80	346	3930
81	350	3920
82	355	3927
83	359	3917
84	363	3910
85	368	3912
86	372	3906
87	375	3896
88	379	3885
89	385	3901
90	389	3893
91	393	3883
92	397	3877
93	402	3880
94	406	3870
95	410	3861
96	417	3882
97	421	3877
98	425	3868
99	430	3871
100	436	3885
101	440	3875
102	443	3865
103	448	3860
104	451	3851
105	455	3843
106	459	3834
107	463	3828
108	467	3823
109	471	3814
110	475	3807
111	479	3802
112	483	3795
113	487	3789
114	491	3780
115	496	3785
116	501	3787
117	506	3787
118	511	3783
119	514	3776
120	518	3767
121	522	3762
122	527	3757
123	530	3749
124	534	3742
125	538	3735
126	544	3740
127	548	3734
128	553	3735
129	557	3730
130	561	3724
131	565	3718
132	569	3710
133	573	3704
134	576	3696
135	580	3690
136	584	3682
137	588	3678
138	592	3670
139	596	3663
140	600	3657
141	604	3652
142	609	3650
143	614	3650
144	618	3644
145	622	3638
146	625	3631
147	629	3624
148	633	3618
149	637	3614
150	641	3606
151	645	3598
152	648	3592
153	653	3588
154	657	3582
155	660	3575
156	666	3578
157	672	3585
158	677	3585
159	681	3578
160	685	3573
161	689	3566
162	693	3561
163	697	3556
164	701	3549
165	705	3542
166	709	3541
167	714	3536
168	717	3528
169	721	3522
170	725	3517
171	729	3512
172	733	3505
173	737	3499
174	740	3493
175	744	3487
176	748	3481
177	753	3477
178	756	3470
179	760	3465
180	764	3458
181	768	3452
182	771	3446
183	777	3447
184	781	3443
185	786	3443
186	790	3437
187	794	3433
188	798	3428
189	804	3428
190	809	3430
191	813	3423
192	817	3418
193	821	3411
194	825	3408
195	829	3402
196	832	3395
197	836	3389
198	840	3384
199	845	3380
200	848	3374
201	852	3369
202	864	3395
203	870	3397
204	875	3394
205	879	3388
206	885	3393
207	901	3432
208	918	3476
209	927	3489
210	937	3506
211	949	3530
212	959	3544
213	967	3554
214	979	3577
215	983	3570
216	992	3582
217	1025	3680
218	1042	3718
219	1049	3719
220	1059	3736
221	1070	3752
222	1078	3759
223	1089	3772
224	1096	3778
225	1109	3798
226	1117	3805
227	1122	3802
228	1127	3795
229	1132	3791
230	1136	3784
231	1140	3776
232	1145	3769
233	1149	3762
234	1155	3761
235	1161	3760
236	1167	3759
237	1174	3759
238	1179	3754
239	1185	3753
240	1190	3748
241	1194	3742
242	1198	3734
243	1203	3728
244	1213	3740
245	1217	3732
246	1222	3726
247	1227	3721
248	1231	3714
249	1235	3706
250	1239	3697
251	1243	3690
252	1247	3684
253	1251	3676
254	1255	3668
255	1259	3660
256	1263	3653
257	1269	3649
258	1272	3641
259	1276	3634
260	1282	3631
261	1286	3623
262	1291	3617
263	1294	3609
264	1299	3604
265	1303	3596
266	1308	3592
267	1312	3583
268	1316	3576
269	1319	3568
270	1324	3562
271	1328	3554
272	1332	3547
273	1336	3540
274	1340	3532
275	1344	3525
276	1347	3518
277	1351	3510
278	1355	3503
279	1359	3496
280	1363	3488
281	1367	3481
282	1371	3475
283	1375	3467
284	1379	3460
285	1383	3453
286	1387	3445
287	1394	3446
288	1398	3440
289	1402	3434
290	1406	3427
291	1410	3419
292	1415	3415
293	1420	3410
294	1423	3403
295	1427	3395
296	1432	3390
