,DTT_Fe_Conc_Grade
0,54.3
1,54.3
2,51.9
3,48.6
4,55.54
5,48.75
6,39.69
7,50.27
8,50.27
9,57.5
10,26.56
11,61.78
12,66.41
13,68.3
14,62.1
15,64.23
16,62.63
17,62.63
18,62.88
19,63.01
20,62.6
21,68
22,69.7
23,66.4
24,68.1
25,66.6
26,70.81
27,69.6
28,70.11
29,60.07
30,67.9
31,69.6
32,68.4
33,65.05
34,39.62
35,65.43
36,65.43
37,66.02
38,66.76
39,69.78
40,70.15
41,69.85
42,69.71
43,70
44,70.07
45,69.85
46,69.48
47,66.76
48,68.53
49,69.56
50,62.48
51,69.56
52,68.38
53,68.53
54,68.53
55,70.15
56,70.15
57,70.3
58,69.41
59,68.53
60,66.61
61,68.23
62,68.67
63,69.3
64,70
65,66.1
66,64.2
67,64.2
68,64.2
69,37.88
70,37.88
71,37.88
72,61.6
73,61.6
74,66.6
75,60.37
76,60.37
77,60.37
78,65
79,65
80,65
81,65
82,61.2
83,62.95
84,62.95
85,62.95
86,62.95
87,63.96
88,63.96
89,63.96
90,65.2
91,65.2
92,65.2
93,66.9
94,66.9
95,66.9
96,66.9
97,64.9
98,64.9
99,67.92
100,68
101,68
102,68
103,67.2
104,68.8
105,69.2
106,68.59
107,68.59
108,69.1
109,68.6
110,68.6
111,23.54
112,25.2
113,63.24
114,68.69
115,63.07
116,66.8
117,67.64
118,64.7
119,66.98
120,66.76
121,66.76
122,64.11
123,64.11
124,63.37
125,63.37
126,64.11
127,64.11
128,65.29
129,65.29
130,63.22
131,63.22
132,62.78
133,62.78
134,64.99
135,64.99
136,62.93
137,62.93
138,65.87
139,67.2
140,67.5
141,67.86
142,68.75
143,66.46
144,67.35
145,70.15
146,69.85
147,68.67
148,67.2
149,68.8
150,62.77
151,38.33
152,38.33
153,56.29
154,48.6
155,37.3
157,47.08
158,35.49
159,62.8
160,58.57
161,64.44
162,64.44
163,69.1
164,65.06
165,67.1
166,34.11
167,38.5
168,36.8
169,66.86
170,66.3
171,30.5
172,46.8
173,65
176,69.09
177,69.84
178,68.22
179,68.22
180,66.23
181,66.23
182,67.62
183,67.62
184,38.86
185,67.8
186,54.68
187,51.97
188,51.97
189,63.01
190,63.24
191,67.31
192,67.6
193,66.46
194,21.18
195,39.96
196,39.96
197,34.55
198,67.1
