,mid_x,mid_y,mid_z,MAGSUS_MOD,MINDOM_MOD,UG_MOD,DTT_Mass_Recovery,Fe_pct_DTT,Magnetite_pct,MS_Actual,Ag_ppm,Al_pct,As_ppm,Au_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_pct,Cd_ppm,Co_ppm,Cr_ppm,Cu_pct,Fe_pct,K_pct,Mg_pct,Mn_ppm,Mo_ppm,Na_pct,Ni_ppm,P_ppm,Pb_ppm,S_pct,Sb_ppm,Si_pct,SiO2_pct,Sr_ppm,Ti_pct,V_ppm,W_ppm,Zn_ppm,Cu_Sulf_Mode,FeOx_1_Mode_1,FeOx_1_Type,Py_Min_Mode_1,Ac,Alb,Cb,Ch,Cp,Cu_Sulfide_pct,Ep,FeOx_1_pct,FeOx_2_pct,He_s,He_t,Hem,Kspar,Lm,Mt,Py,Qz,Sr
0,399995.43,7072702.96,1023.55,out,Sulfides,VLCL_BOTTOM,13.99,28.96681688533942,14.050012522848988,10234.0,0.5,5.54,20.0,0.074,120.0,1.0,11.0,2.68,0.8,217.0,27,0.367,23.0,1.16,1.88,2040,95.0,1.92,21.0,1040,2.0,2.55,5.0,13.863495222929936,29.667879777070066,39.0,0.66,165.0,10.0,87,Cu_M_504,Fe1_M1_304,Fe1_T_b,Py_M1_504,1.0,0.0,1.0,2.0,0.3,0.3,0.0,15.0,5.0,7.0,0.2,0.0,0.0,0.2,13.0,1.0,0.0,2.0
1,399995.43,7072702.96,1022.55,out,Sulfides,VLCL_BOTTOM,13.99,28.96681688533942,14.050012522848988,10234.0,0.5,5.54,20.0,0.074,120.0,1.0,11.0,2.68,0.8,217.0,27,0.367,23.0,1.16,1.88,2040,95.0,1.92,21.0,1040,2.0,2.55,5.0,13.863495222929936,29.667879777070066,39.0,0.66,165.0,10.0,87,Cu_M_504,Fe1_M1_304,Fe1_T_b,Py_M1_504,0.0,0.0,1.0,2.0,0.3,0.3,0.0,15.0,2.0,4.0,1.0,0.0,1.0,0.0,13.0,1.0,0.0,2.0
2,399995.43,7072702.96,988.65,out,Sulfides,VLCL_BOTTOM,17.64,28.96681688533942,14.050012522848988,10225.0,0.5,5.69,36.0,0.044,390.0,1.0,8.0,3.28,0.5,176.0,11,0.3,18.8,1.14,1.13,1600,27.0,2.15,16.0,1690,3.0,1.11,7.0,13.863495222929936,29.667879777070066,58.0,0.92,203.0,10.0,166,Cu_M_504,Fe1_M1_304,Fe1_T_b,Py_M1_504,0.0,0.0,0.0,2.0,0.2,0.2,0.0,17.0,6.0,8.0,0.8,0.0,1.0,0.0,15.0,1.5,2.0,2.0
3,399995.43,7072702.96,936.65,out,Sulfides,VLCL_BOTTOM,8.5,14.34,4.13,5830.0,0.6,7.65,15.0,0.029,670.0,0.7,4.0,2.76,0.5,88.0,115,0.353,14.55,2.69,4.55,2620,4.0,0.95,46.0,840,2.0,0.89,9.0,13.863495222929936,29.667879777070066,115.0,0.88,203.0,10.0,152,Cu_M_221,Fe1_M1_804,Fe1_T_b,Py_M1_304,0.0,0.0,0.0,1.0,0.2,0.3,1.0,25.0,2.0,5.0,0.0,0.0,2.0,0.0,22.0,0.5,2.0,1.0
4,399995.43,7072702.96,910.65,out,Sulfides,VLCL_BOTTOM,9.4,17.4,5.22,6636.0,0.7,4.07,18.0,0.024,140.0,0.7,5.0,7.59,0.5,152.0,61,0.0469,14.75,2.15,2.73,2290,53.0,0.32,40.0,520,4.0,2.3,8.0,13.863495222929936,29.667879777070066,7.0,0.51,133.0,10.0,59,Cu_M_220,Fe1_M1_304,Fe1_T_b,Py_M1_504,0.0,1.0,0.0,1.0,0.2,0.2,1.0,25.0,0.0,5.0,0.0,0.0,2.0,0.0,20.0,0.6,2.0,2.0
5,399860.05,7072764.8,901.67,out,Sulfides,ANLT,3.5,13.05,1.71,781.0,0.5,6.99,13.0,0.014,220.0,0.8,8.0,3.0,0.7,83.0,31,0.14,11.1,1.32,2.09,1510,11.0,2.89,19.0,1400,2.0,0.75,5.0,13.863495222929936,29.667879777070066,31.0,0.94,259.0,10.0,51,Cu_M_504,Fe1_M1_304,Fe1_T_a,Py_M1_304,0.0,0.0,0.0,3.0,0.3,0.3,0.0,0.8,1.0,1.0,0.0,0.0,1.0,0.0,0.8,0.3,1.0,1.0
6,399860.05,7072764.8,895.67,out,Sulfides,ANLT,8.6,15.62,3.41,4853.0,0.5,6.48,9.0,0.021,240.0,1.2,10.0,3.68,0.9,46.0,35,0.243,14.35,1.92,2.22,1775,10.0,1.52,13.0,1120,2.0,0.6,5.0,13.863495222929936,29.667879777070066,20.0,0.83,253.0,10.0,60,Cu_M_504,Fe1_M1_304,Fe1_T_a,Py_M1_304,0.0,0.0,0.0,3.0,0.5,0.5,0.0,10.0,0.5,0.5,0.0,0.0,0.0,0.0,10.0,0.3,0.0,1.0
7,399860.05,7072764.8,884.17,out,Sulfides,VLCL_BOTTOM,5.13,12.35,14.050012522848988,4648.0,0.5,6.12,48.0,0.022,210.0,1.1,7.0,4.62,1.0,66.0,30,0.334,12.1,0.59,2.16,2350,8.0,2.53,15.0,1360,2.0,0.71,5.0,13.863495222929936,29.667879777070066,29.0,0.91,257.0,10.0,74,Cu_M_504,Fe1_M1_304,Fe1_T_a,Py_M1_504,0.0,0.0,1.0,0.0,0.5,0.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.1,1.0,1.0
8,399860.05,7072764.8,883.17,out,Sulfides,VLCL_BOTTOM,5.13,12.35,14.050012522848988,4648.0,0.5,6.12,48.0,0.022,210.0,1.1,7.0,4.62,1.0,66.0,30,0.334,12.1,0.59,2.16,2350,8.0,2.53,15.0,1360,2.0,0.71,5.0,13.863495222929936,29.667879777070066,29.0,0.91,257.0,10.0,74,Cu_M_504,Fe1_M1_304,Fe1_T_e,Py_M1_304,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0
9,399860.05,7072764.8,879.67,out,Sulfides,VLCL_BOTTOM,6.2,13.13,3.57,3601.0,0.5,4.94,35.0,0.016,140.0,1.2,8.0,10.25,1.0,86.0,29,0.106,13.05,0.91,2.44,3020,6.0,0.5,9.0,670,2.0,0.75,5.0,13.863495222929936,29.667879777070066,1.0,0.52,172.0,10.0,69,Cu_M_504,Fe1_M1_304,Fe1_T_a,Py_M1_304,2.0,0.0,0.0,3.0,0.0,0.0,1.0,18.0,0.5,0.5,0.0,0.0,1.0,0.0,18.0,0.2,0.0,0.0
