,mid_x,mid_y,mid_z,DTT_Mass_Recovery,MS_Actual,Al_pct,As_ppm,Au_ppm,Be_ppm,Ca_pct,Cr_ppm,Cu_pct,Fe_pct,K_pct,Mg_pct,Mn_ppm,Na_pct,P_ppm,Pb_ppm,S_pct,Si_pct,SiO2_pct,Sr_ppm,Ti_pct,V_ppm,W_ppm,Ac,Cb,Ch,Cp,Cu_Sulfide_pct,Ep,FeOx_1_pct,He_s,Kspar,Lm,Mt,Py,CuOx,Mixture,Sulfides,ANDE_LOWER,ANDE_UPPER,ANLT,ANLT_ANDE,BX,VLCL_BOTTOM,VLCL_TOP,Fe1_M1_100,Fe1_M1_200,Fe1_M1_220,Fe1_M1_221,Fe1_M1_222,Fe1_M1_302,Fe1_M1_304,Fe1_M1_306,Fe1_M1_400,Fe1_M1_502,Fe1_M1_504,Fe1_M1_506,Fe1_M1_508,Fe1_M1_602,Fe1_M1_604,Fe1_M1_606,Fe1_M1_802,Fe1_M1_804,Fe1_M1_806,Fe1_M1_808,Fe1_M1_902,Fe1_M1_904,Fe1_M1_906,Fe1_M1_908,in,out,DTT_Fe_Conc_Grade
0,0.317494844,-0.316432442,0.616803983,-0.162435501,-0.104394092,0.953512051,0.039190898,0.213538446,1.16470301,-0.095238095,0.032540676,0.309080438,-0.658582393,0.376623377,0.127303183,0.309677419,1.73488333,0.857142857,0.005838198,0.23828125,0,-4.24E-16,-0.485034636,1.366666667,1.416794045,0.140401146,0.333333333,0.333333333,0.666666667,0.125,0.125,0,-0.272727273,0.5,0,0.2,-0.052631579,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54.3
1,0.317494844,-0.316432442,0.609894227,-0.162435501,-0.104394092,0.953512051,0.039190898,0.213538446,1.16470301,-0.095238095,0.032540676,0.309080438,-0.658582393,0.376623377,0.127303183,0.309677419,1.73488333,0.857142857,0.005838198,0.23828125,0,-4.24E-16,-0.485034636,1.366666667,1.416794045,0.140401146,0,0.333333333,0.666666667,0.125,0.125,0,-0.272727273,0.2,0.333333333,0,-0.052631579,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54.3
2,0.317494844,-0.316432442,0.375653494,-0.011764706,-0.104806898,1.040765507,0.079646018,-0.500747269,1.16470301,0.222222222,0.012515645,0.180456902,-1.017677496,0.350649351,-0.37520938,-0.068817204,2.116109491,2.404761905,0.009174312,-0.32421875,0,-4.24E-16,0.602114466,2.233333333,2.308426799,0.140401146,0,0,0.666666667,0,0,0,-0.236363636,0.6,0.333333333,0,0,0.17699115,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51.9
3,0.317494844,-0.316432442,0.016346175,-0.389060888,-0.306393909,2.18087733,0.026548673,-0.857890126,-1,-0.052910053,0.142678348,0.282203878,-1.381047541,2.363636364,1.916247906,0.808602151,0.127103433,0.380952381,0.005838198,-0.41015625,0,-4.24E-16,3.863561771,2.1,2.308426799,0.140401146,0,0,0.333333333,0,0.125,0.333333333,-0.090909091,0.3,0.666666667,0,0.184210526,-0.17699115,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,48.6
4,0.317494844,-0.316432442,-0.163307484,-0.351909185,-0.269424823,0.098428183,0.034134008,-0.976937745,-1,2.502645503,0.075093867,-0.305432905,-1.363947774,1.662337662,0.69681742,0.524731183,-0.917124748,-0.380952381,0.012510425,0.140625,0,-4.24E-16,-2.316022597,0.866666667,0.665945409,0.140401146,0,0,0.333333333,0,0,0.333333333,-0.090909091,0.3,0.666666667,0,0.131578947,-0.14159292,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55.54
5,0,-0.236540136,-0.225357094,-0.595459236,-0.537978167,1.796962124,0.021491783,-1.215032983,-0.27843233,0.074074074,0.037546934,-0.126703782,-1.676018518,0.584415584,0.2680067,-0.146236559,3.342663226,1.714285714,0.005838198,-0.46484375,0,-4.24E-16,-0.942781626,2.3,3.622411911,0.140401146,0,0,1,0.125,0.125,0,-0.530909091,-0.1,0.333333333,0,-0.373684211,-0.247787611,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48.75
6,0,-0.236540136,-0.266815631,-0.384932921,-0.351206311,1.500300374,0.011378003,-1.048366316,2.607838349,0.433862434,0.042553191,0.071030908,-1.398147308,1.363636364,0.355108878,0.08172043,1.07188131,1.047619048,0.005838198,-0.5234375,0,-4.24E-16,-1.572183738,1.933333333,3.481627792,0.140401146,0,0,1,0.375,0.375,0,-0.363636364,-0.15,0,0,-0.131578947,-0.247787611,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39.69
7,0,-0.236540136,-0.346277827,-0.528173375,-0.360609118,1.29089208,0.109987358,-1.024556792,1.886270679,0.931216931,0.036295369,0.245728547,-1.590519684,-0.363636364,0.314907873,0.576344086,2.745961409,1.619047619,0.005838198,-0.48046875,0,-4.24E-16,-1.057218374,2.2,3.575483871,0.140401146,0,0.333333333,0,0.375,0.375,0,-0.363636364,-0.2,0,0,-0.131578947,-0.318584071,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50.27
8,0,-0.236540136,-0.353187583,-0.528173375,-0.360609118,1.29089208,0.109987358,-1.024556792,1.886270679,0.931216931,0.036295369,0.245728547,-1.590519684,-0.363636364,0.314907873,0.576344086,2.745961409,1.619047619,0.005838198,-0.48046875,0,-4.24E-16,-1.057218374,2.2,3.575483871,0.140401146,0,0.333333333,0.666666667,-0.25,-0.25,0,-0.543636364,-0.19,0,0,-0.394736842,-0.318584071,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50.27
9,0,-0.236540136,-0.377371729,-0.484004128,-0.408632236,0.604498227,0.077117573,-1.167413935,2.607838349,3.91005291,0.035043805,-0.191975427,-1.509295792,0.051948052,0.502512563,1.152688172,-0.618773839,-0.023809524,0.005838198,-0.46484375,0,-4.24E-16,-2.65933284,0.9,1.581042184,0.140401146,0.666666667,0,1,-0.25,-0.25,0.333333333,-0.218181818,-0.15,0.333333333,0,0.078947368,-0.283185841,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57.5
10,0,-0.236540136,-0.50174734,-0.079463364,-0.312815338,2.297215271,0.016434893,-1.334080602,-1,-0.026455026,0.051314143,-0.291034748,-1.727317819,2.415584416,0.462311558,2.098924731,2.165834642,-0.095238095,0.005838198,-0.63671875,0,-4.24E-16,8.727123542,1.533333333,3.129667494,0.140401146,0,0,1,-0.125,-0.125,0,-0.454545455,-0.2,0,0,-0.263157895,-0.318584071,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.56
11,0,-0.236540136,-0.722859536,-0.124045408,-0.062241996,2.000553521,0.006321113,-1.048366316,-1,-0.222222222,0.107634543,-0.052793242,-1.004852671,2.272727273,1.366834171,1.049462366,1.038731209,0.30952381,0.005838198,-0.21484375,0,-4.24E-16,-0.427816262,1.1,1.463722084,0.140401146,0,0,1,-0.125,0,0,-0.327272727,-0.15,0.333333333,0,-0.078947368,-0.17699115,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61.78
