iter	Passed	Remaining
0	4	4441
1	8	4179
2	12	4029
3	15	3924
4	19	3883
5	23	3845
6	26	3792
7	30	3774
8	34	3749
9	37	3757
10	41	3748
11	45	3742
12	49	3736
13	53	3740
14	56	3739
15	60	3739
16	64	3739
17	68	3731
18	72	3719
19	75	3718
20	79	3711
21	83	3696
22	86	3690
23	91	3707
24	96	3765
25	101	3810
26	106	3841
27	113	3926
28	117	3920
29	121	3931
30	125	3920
31	129	3906
32	133	3903
33	137	3896
34	140	3887
35	144	3879
36	148	3872
37	152	3863
38	156	3856
39	160	3845
40	164	3850
41	168	3840
42	172	3828
43	175	3820
44	179	3815
45	183	3805
46	187	3799
47	191	3797
48	195	3790
49	199	3788
50	203	3782
51	207	3773
52	210	3765
53	214	3756
54	218	3751
55	223	3761
56	226	3753
57	230	3747
58	234	3741
59	238	3738
60	243	3744
61	247	3736
62	250	3729
63	254	3717
64	258	3712
65	261	3705
66	265	3698
67	269	3687
68	272	3682
69	276	3675
70	280	3670
71	285	3682
72	291	3701
73	296	3708
74	300	3710
75	306	3725
76	311	3734
77	315	3726
78	319	3719
79	323	3714
80	326	3709
81	330	3705
82	334	3700
83	338	3693
84	342	3688
85	346	3681
86	350	3674
87	353	3665
88	357	3663
89	361	3656
90	365	3649
91	369	3642
92	372	3636
93	376	3629
94	380	3625
95	384	3617
96	387	3611
97	391	3605
98	395	3602
99	399	3595
100	403	3592
101	408	3592
102	411	3585
103	415	3580
104	419	3573
105	423	3567
106	426	3560
107	430	3553
108	433	3547
109	437	3541
110	441	3535
111	445	3530
112	449	3524
113	452	3519
114	456	3514
115	460	3509
116	463	3501
117	467	3495
118	471	3490
119	475	3484
120	481	3497
121	486	3501
122	491	3504
123	496	3505
124	501	3508
125	505	3508
126	509	3502
127	515	3510
128	519	3505
129	523	3500
130	526	3495
131	531	3492
132	534	3486
133	538	3481
134	542	3477
135	546	3471
136	550	3467
137	554	3460
138	557	3455
139	562	3452
140	565	3447
141	569	3441
142	573	3436
143	577	3430
144	580	3424
145	584	3419
146	588	3414
147	592	3411
148	596	3405
149	599	3399
150	603	3394
151	607	3389
152	611	3383
153	614	3377
154	618	3372
155	622	3367
156	626	3362
157	630	3357
158	633	3351
159	637	3347
160	641	3341
161	645	3337
162	648	3332
163	652	3326
164	656	3321
165	660	3319
166	664	3314
167	668	3310
168	672	3307
169	677	3309
170	682	3310
171	688	3313
172	693	3317
173	697	3312
174	701	3308
175	708	3317
176	712	3312
177	716	3306
178	720	3303
179	724	3299
180	728	3294
181	731	3289
182	735	3284
183	739	3279
184	743	3273
185	746	3268
186	750	3263
187	754	3258
188	758	3253
189	761	3247
190	765	3243
191	769	3237
192	773	3233
193	776	3227
194	780	3222
195	785	3221
196	789	3216
197	792	3210
198	796	3205
199	800	3200
200	803	3195
201	806	3184
202	810	3181
203	813	3176
204	817	3171
205	821	3166
206	825	3161
207	829	3157
208	832	3152
209	836	3146
210	840	3142
211	844	3137
212	847	3132
213	851	3127
214	855	3122
215	859	3118
216	862	3113
217	867	3112
218	873	3114
219	878	3114
220	884	3117
221	888	3112
222	892	3110
223	896	3106
224	900	3101
225	904	3097
226	908	3093
227	912	3089
228	916	3084
229	920	3080
230	923	3075
231	927	3070
232	931	3066
233	935	3061
234	938	3055
235	942	3051
236	946	3046
237	949	3041
238	954	3040
239	959	3036
240	962	3032
241	966	3027
242	970	3023
243	974	3018
244	977	3013
245	981	3008
246	985	3003
247	989	2999
248	993	2995
249	996	2990
250	1000	2985
251	1004	2981
252	1008	2976
253	1011	2971
254	1015	2966
255	1019	2962
256	1023	2958
257	1027	2953
258	1030	2949
259	1034	2944
260	1038	2940
261	1042	2935
262	1046	2931
263	1049	2926
264	1053	2921
265	1057	2917
266	1062	2916
267	1067	2915
268	1073	2916
269	1078	2914
270	1084	2917
271	1088	2912
272	1091	2907
273	1095	2902
274	1100	2902
275	1104	2897
276	1108	2892
277	1111	2887
278	1115	2883
279	1119	2878
280	1123	2874
281	1127	2869
282	1130	2865
283	1134	2860
284	1142	2866
285	1146	2861
286	1150	2857
287	1153	2852
288	1158	2848
289	1161	2844
290	1165	2839
291	1169	2835
292	1172	2830
293	1176	2826
294	1180	2821
295	1184	2817
296	1188	2813
297	1192	2808
298	1196	2804
299	1200	2800
300	1203	2795
301	1207	2791
302	1211	2787
303	1215	2782
304	1219	2777
305	1222	2773
306	1226	2768
307	1230	2764
308	1234	2759
309	1237	2755
310	1241	2750
311	1245	2745
312	1248	2741
313	1253	2737
314	1258	2737
315	1263	2735
316	1269	2734
317	1274	2732
318	1279	2731
319	1283	2727
320	1288	2726
321	1292	2722
322	1296	2718
323	1300	2713
324	1304	2709
325	1308	2704
326	1312	2700
327	1316	2696
