,DTT_Fe_Conc_Grade
0,54.3
1,54.3
2,51.9
3,48.6
4,55.54
5,48.75
6,39.69
7,50.27
8,50.27
9,57.5
10,26.56
11,61.78
12,66.41
13,68.3
14,36.52
15,36.52
16,62.1
17,64.23
18,62.63
19,62.63
20,62.88
21,63.01
22,62.6
23,68.0
24,69.7
25,66.4
26,68.1
27,66.6
28,70.81
29,69.6
30,70.11
31,60.07
32,67.9
33,69.6
34,68.4
35,65.05
36,39.62
37,65.43
38,65.43
39,66.02
40,66.76
41,69.78
42,70.15
43,69.85
44,69.71
45,70.0
46,70.07
47,69.85
48,69.48
49,66.76
50,68.53
51,69.56
52,62.48
53,69.56
54,68.38
55,68.53
56,68.53
57,70.15
58,70.15
59,70.3
60,69.41
61,68.53
62,66.61
63,68.23
64,68.67
65,69.3
66,70.0
67,66.1
70,64.2
71,64.2
72,64.2
73,37.88
74,37.88
75,37.88
76,61.6
77,61.6
78,66.6
79,60.37
80,60.37
81,60.37
82,65.0
83,65.0
84,65.0
85,65.0
86,61.2
87,62.95
88,62.95
89,62.95
90,62.95
91,63.96
92,63.96
93,63.96
94,65.2
95,65.2
96,65.2
97,66.9
98,66.9
99,66.9
100,66.9
101,64.9
102,64.9
103,67.92
104,68.0
105,68.0
106,68.0
107,67.2
108,68.8
109,69.2
110,68.59
111,68.59
112,69.1
113,68.6
114,68.6
115,23.54
116,25.2
117,63.24
118,68.69
119,63.07
120,66.8
121,67.64
122,64.7
123,66.98
124,66.76
125,66.76
126,64.11
127,64.11
128,63.37
129,63.37
130,64.11
131,64.11
132,65.29
133,65.29
134,63.22
135,63.22
136,62.78
137,62.78
138,64.99
139,64.99
140,62.93
141,62.93
142,65.87
143,67.2
144,67.5
145,67.86
146,68.75
147,66.46
148,67.35
149,70.15
150,69.85
151,68.67
152,67.2
153,68.8
154,62.77
155,38.33
156,38.33
157,66.86
158,65.95
159,66.26
160,62.78
161,56.29
162,70.14
163,48.6
164,37.3
165,50.09
166,47.08
167,35.49
168,62.8
169,58.57
170,64.44
171,64.44
172,69.1
173,65.06
174,67.1
175,34.11
176,38.5
177,36.8
178,59.16
179,66.86
180,66.3
181,30.5
182,46.8
183,65.0
184,50.62
185,30.34
186,69.09
187,69.84
188,68.22
189,68.22
190,66.23
191,66.23
192,67.62
193,67.62
